ydstogo,yardline_100,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,off_epa_db,off_epa_rush,def_epa_db_allowed,def_epa_rush_allowed,posteam,defteam,qtr,season,fourth_down_converted
5,7,81,-6,0.0,1.0,-0.0741175548802771,-0.0591354146593853,-0.0156841231956559,-0.181925429774626,NYG,TB,4,2019,1
13,76,56,-16,0.0,2.0,-0.134619662581781,-0.179995827790576,-0.266445986323596,-0.104457274126202,NYJ,NE,4,2019,0
1,66,1220,-21,3.0,3.0,0.179750607009636,-0.0834285737374612,-0.0186459880374121,-0.0970454354266318,LV,MIN,3,2019,1
1,39,1099,-21,3.0,3.0,0.179750607009636,-0.0834285737374612,-0.0186459880374121,-0.0970454354266318,LV,MIN,3,2019,0
3,44,720,-24,3.0,3.0,0.179750607009636,-0.0834285737374612,-0.0186459880374121,-0.0970454354266318,LV,MIN,4,2019,1
12,80,41,-4,0.0,2.0,-0.105022918890535,-0.252065036830085,-0.128978308664097,-0.094091408790375,PIT,SF,4,2019,0
6,11,1591,-14,3.0,3.0,0.114159952181904,0.0280903143674046,0.103234149353306,0.0092024785360853,TEN,JAX,3,2019,0
4,4,208,13,3.0,0.0,-0.0420851417742706,-0.0744431314050357,0.0347310469110907,-0.0982668670581398,JAX,TEN,4,2019,0
1,42,2946,-3,2.0,3.0,-0.105022918890535,-0.252065036830085,0.208911413694967,-0.0006980135789059,PIT,CIN,1,2019,0
13,13,668,-21,3.0,3.0,-0.100603220093765,-0.0843467454619354,-0.0972441646087349,-0.177224964056479,CIN,PIT,4,2019,0
1,66,269,-24,3.0,3.0,-0.100603220093765,-0.0843467454619354,-0.0972441646087349,-0.177224964056479,CIN,PIT,4,2019,1
10,48,116,-24,3.0,3.0,-0.100603220093765,-0.0843467454619354,-0.0972441646087349,-0.177224964056479,CIN,PIT,4,2019,0
1,8,1830,0,2.0,3.0,-0.0225811426797235,-0.0598958622084029,-0.108660221241322,-0.0344554220474399,CLE,BAL,2,2019,1
3,69,499,-12,3.0,2.0,0.242103321654931,0.102375945646042,0.0331094260222781,0.0183173501336733,BAL,CLE,4,2019,0
5,74,69,-22,0.0,2.0,0.242103321654931,0.102375945646042,0.0331094260222781,0.0183173501336733,BAL,CLE,4,2019,1
1,57,1896,-3,2.0,1.0,0.200384032524924,0.0292480725158598,0.0145120045571845,-0.144556129376769,DAL,NO,2,2019,0
1,15,1316,-11,3.0,3.0,-0.0420851417742706,-0.0744431314050357,0.0394974279719467,-0.0585522047295942,JAX,DEN,3,2019,1
8,66,115,-3,1.0,3.0,0.247458679264274,-0.0052199784925181,0.164074237521078,-0.0755910568507493,KC,DET,4,2019,1
6,37,2170,0,3.0,3.0,0.114717071526237,-0.114772551400137,0.23965525614946,-0.0184911477531922,LAC,MIA,2,2019,0
12,54,240,-20,1.0,0.0,-0.0420003856347691,-0.165772631114309,0.0810276015519127,-0.03113103725949,MIA,LAC,4,2019,0
1,43,3314,0,3.0,3.0,-0.0484949185728265,-0.157366031514739,-0.0186459880374121,-0.0970454354266318,CHI,MIN,1,2019,1
3,34,1922,7,2.0,2.0,-0.0484949185728265,-0.157366031514739,-0.0186459880374121,-0.0970454354266318,CHI,MIN,2,2019,1
